"Mês/ano de competência";"Cap 10";"Total"
"Mar/2021";6058071,06;6058071,06
"Abr/2021";5463764,64;5463764,64
"Mai/2021";5568479,35;5568479,35
"Jun/2021";5599709,61;5599709,61
"Jul/2021";6262850,49;6262850,49
"Ago/2021";5967534,03;5967534,03
"Set/2021";6549493,61;6549493,61
"Out/2021";6784875,72;6784875,72
"Nov/2021";6923275,21;6923275,21
"Dez/2021";7838172,20;7838172,20
"Jan/2022";7448868,63;7448868,63
"Fev/2022";5580084,56;5580084,56
"Mar/2022";6263235,65;6263235,65
"Abr/2022";6498853,45;6498853,45
"Mai/2022";6837377,11;6837377,11
"Jun/2022";6491032,83;6491032,83
"Jul/2022";8266298,09;8266298,09
"Ago/2022";7586649,87;7586649,87
"Set/2022";7303687,16;7303687,16
"Out/2022";8238884,19;8238884,19
"Nov/2022";7658814,01;7658814,01
"Dez/2022";7604315,98;7604315,98
"Jan/2023";7826225,68;7826225,68
"Fev/2023";7062419,28;7062419,28
"Mar/2023";7868091,92;7868091,92
"Abr/2023";7268215,01;7268215,01
"Mai/2023";8533247,81;8533247,81
"Jun/2023";9014796,22;9014796,22
"Jul/2023";8207353,52;8207353,52
"Ago/2023";9403924,97;9403924,97
"Set/2023";7931200,78;7931200,78
"Out/2023";8096287,81;8096287,81
"Nov/2023";7904312,76;7904312,76
"Dez/2023";6782290,00;6782290,00
"Jan/2024";6771575,12;6771575,12
"Fev/2024";7151285,91;7151285,91
"Mar/2024";7906806,62;7906806,62
"Abr/2024";8496547,23;8496547,23
"Mai/2024";8868805,94;8868805,94
"Jun/2024";9544353,72;9544353,72
"Jul/2024";9038872,50;9038872,50
"Ago/2024";9783984,20;9783984,20
"Set/2024";8781459,17;8781459,17
"Out/2024";9164054,51;9164054,51
"Nov/2024";9161618,43;9161618,43
"Dez/2024";8636046,13;8636046,13
"Jan/2025";8187043,06;8187043,06
"Fev/2025";7504701,08;7504701,08
"Total";1257363999,44;1257363999,44
Fonte: Ministério da Saúde/DATASUS/Sistema de Informação Hospitalar – SIH
Nota:
 Dados preliminares sujeitos a atualizações.
 Informe do DATASUS de 23/12/2015: Comp. 11/2015 o CNES passou a trabalhar exclusivamente com a Natureza Jurídica proveniente de consumo das informações
 do CNPJ na R.F. do Brasil para identificar a constituição jurídico-administrativa dos estabelecimentos de saúde, abandonando os campos Tipo de Prestador,
 Esfera Adm., Natureza da Org.e Retenção de Tributos. (Port. Nº 1.319/SAS/MS/2014).
